Database	Gene	Serotype	Identity	Template / HSP length	Contig	Position in contig	Accession number	SRR6875375
H_type	fliC	H31	100.0	1668 / 1668	contig00025 len=54394 cov=24.2 corr=0 origname=NODE_25_length_54394_cov_24.182265_pilon sw=shovill-spades/1.0.9 date=20210127	20419..22086	CP000247	SRR7659844
O_type	wzx	O15	100.0	1245 / 1245	contig00014 len=131885 cov=25.4 corr=0 origname=NODE_14_length_131885_cov_25.380561_pilon sw=shovill-spades/1.0.9 date=20210127	1706..2950	AY647261	SRR7659844
H_type	fliC	H31	100.0	1668 / 1668	contig00036 len=28677 cov=19.9 corr=0 origname=NODE_36_length_28677_cov_19.940510_pilon sw=shovill-spades/1.0.9 date=20210126	19548..21215	CP000247	SRR800432
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=441341 cov=20.3 corr=0 origname=NODE_1_length_441341_cov_20.270995_pilon sw=shovill-spades/1.0.9 date=20210126	392298..393740	AB812035	SRR800432
H_type	fliC	H31	100.0	1668 / 1668	contig00015 len=96586 cov=39.3 corr=0 origname=NODE_15_length_96586_cov_39.315813_pilon sw=shovill-spades/1.0.9 date=20210126	50983..52650	CP000247	SRR11101255
O_type	wzx	O83	100.0	1443 / 1443	contig00025 len=58538 cov=44.0 corr=0 origname=NODE_25_length_58538_cov_44.014706_pilon sw=shovill-spades/1.0.9 date=20210126	56845..58287	AB812035	SRR11101255
O_type	wzy	O83	99.8	983 / 1236	contig00073 len=3650 cov=2.4 corr=0 origname=NODE_73_length_3650_cov_2.448481_pilon sw=shovill-spades/1.0.9 date=20210126	2669..3650	AB812035	SRR11101255
H_type	fliC	H31	100.0	1668 / 1668	contig00028 len=48122 cov=35.7 corr=0 origname=NODE_28_length_48122_cov_35.733701_pilon sw=shovill-spades/1.0.9 date=20210126	14058..15725	CP000247	SRR8236051
O_type	wzx	O83	100.0	1443 / 1443	contig00005 len=231947 cov=39.8 corr=0 origname=NODE_5_length_231947_cov_39.849016_pilon sw=shovill-spades/1.0.9 date=20210126	229493..230935	AB812035	SRR8236051
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=483008 cov=26.9 corr=0 origname=NODE_1_length_483008_cov_26.901531_pilon sw=shovill-spades/1.0.9 date=20210127	60440..62107	CP000247	SRR12744011
O_type	wzx	O4	99.92	1239 / 1239	contig00005 len=354210 cov=27.1 corr=0 origname=NODE_5_length_354210_cov_27.095212_pilon sw=shovill-spades/1.0.9 date=20210127	12511..13749	AY568960	SRR12744011
O_type	wzy	O4	100.0	1188 / 1188	contig00005 len=354210 cov=27.1 corr=0 origname=NODE_5_length_354210_cov_27.095212_pilon sw=shovill-spades/1.0.9 date=20210127	10428..11615	AY568960	SRR12744011
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611473 cov=23.2 corr=0 origname=NODE_1_length_611473_cov_23.178169_pilon sw=shovill-spades/1.0.9 date=20210126	427795..429462	CP000247	SRR11449852
O_type	wzx	O4	99.92	1239 / 1239	contig00002 len=597634 cov=26.1 corr=0 origname=NODE_2_length_597634_cov_26.142010_pilon sw=shovill-spades/1.0.9 date=20210126	12384..13622	AY568960	SRR11449852
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=597634 cov=26.1 corr=0 origname=NODE_2_length_597634_cov_26.142010_pilon sw=shovill-spades/1.0.9 date=20210126	10301..11488	AY568960	SRR11449852
H_type	fliC	H31	100.0	1668 / 1668	contig00078 len=13945 cov=23.8 corr=0 origname=NODE_78_length_13945_cov_23.809741_pilon sw=shovill-spades/1.0.9 date=20210126	7083..8750	CP000247	SRR11080869
O_type	wzx	O83	100.0	1443 / 1443	contig00028 len=62915 cov=23.8 corr=0 origname=NODE_28_length_62915_cov_23.815554_pilon sw=shovill-spades/1.0.9 date=20210126	59428..60870	AB812035	SRR11080869
H_type	fliC	H28	100.0	1740 / 1740	contig00003 len=510004 cov=25.0 corr=0 origname=NODE_3_length_510004_cov_25.000639_pilon sw=shovill-spades/1.0.9 date=20210126	426903..428642	AAJT02000052	SRR9694239
O_type	wzy	O117	100.0	1323 / 1323	contig00002 len=630066 cov=28.4 corr=0 origname=NODE_2_length_630066_cov_28.385694_pilon sw=shovill-spades/1.0.9 date=20210126	627342..628664	EU694096	SRR9694239
O_type	wzx	O117	100.0	1218 / 1218	contig00002 len=630066 cov=28.4 corr=0 origname=NODE_2_length_630066_cov_28.385694_pilon sw=shovill-spades/1.0.9 date=20210126	626132..627349	EU694096	SRR9694239
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=413381 cov=19.3 corr=0 origname=NODE_2_length_413381_cov_19.272270_pilon sw=shovill-spades/1.0.9 date=20210126	7463..9130	CP000247	SRR958598
O_type	wzx	O83	100.0	1443 / 1443	contig00020 len=54636 cov=20.7 corr=0 origname=NODE_20_length_54636_cov_20.671169_pilon sw=shovill-spades/1.0.9 date=20210126	47607..49049	AB812035	SRR958598
H_type	fliC	H6	100.0	1024 / 1647	contig00010 len=177203 cov=25.9 corr=0 origname=NODE_10_length_177203_cov_25.886742_pilon sw=shovill-spades/1.0.9 date=20210127	88284..89307	AY249991	MVAST3050
O_type	wzy	O2	98.13	963 / 963	contig00002 len=464230 cov=25.6 corr=0 origname=NODE_2_length_464230_cov_25.577130_pilon sw=shovill-spades/1.0.9 date=20210127	73783..74745	EU549863	MVAST3050
O_type	wzy	O2/O50	98.13	963 / 963	contig00002 len=464230 cov=25.6 corr=0 origname=NODE_2_length_464230_cov_25.577130_pilon sw=shovill-spades/1.0.9 date=20210127	73783..74745	EU549863	MVAST3050
O_type	wzx	O2/O50	98.57	1263 / 1263	contig00002 len=464230 cov=25.6 corr=0 origname=NODE_2_length_464230_cov_25.577130_pilon sw=shovill-spades/1.0.9 date=20210127	76457..77719	EU549863-AB811624	MVAST3050
O_type	wzx	O50	98.57	1263 / 1263	contig00002 len=464230 cov=25.6 corr=0 origname=NODE_2_length_464230_cov_25.577130_pilon sw=shovill-spades/1.0.9 date=20210127	76457..77719	KY115227	MVAST3050
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=477523 cov=31.5 corr=0 origname=NODE_3_length_477523_cov_31.482472_pilon sw=shovill-spades/1.0.9 date=20210126	427992..429659	CP000247	SRR7788260
O_type	wzx	O4	99.92	1239 / 1239	contig00002 len=643539 cov=34.7 corr=0 origname=NODE_2_length_643539_cov_34.673567_pilon sw=shovill-spades/1.0.9 date=20210126	57853..59091	AY568960	SRR7788260
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=643539 cov=34.7 corr=0 origname=NODE_2_length_643539_cov_34.673567_pilon sw=shovill-spades/1.0.9 date=20210126	55770..56957	AY568960	SRR7788260
H_type	fliC	H31	100.0	1668 / 1668	contig00010 len=174735 cov=30.3 corr=0 origname=NODE_10_length_174735_cov_30.254192_pilon sw=shovill-spades/1.0.9 date=20210127	165831..167498	CP000247	SRR9029457
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=457800 cov=34.3 corr=0 origname=NODE_1_length_457800_cov_34.330697_pilon sw=shovill-spades/1.0.9 date=20210127	455384..456622	AY568960	SRR9029457
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=602847 cov=19.2 corr=0 origname=NODE_2_length_602847_cov_19.157246_pilon sw=shovill-spades/1.0.9 date=20210127	178936..180603	CP000247	MVAST7143
O_type	wzy	O6	100.0	1344 / 1344	contig00003 len=591959 cov=21.2 corr=0 origname=NODE_3_length_591959_cov_21.240215_pilon sw=shovill-spades/1.0.9 date=20210127	583304..584647	AJ426423	MVAST7143
H_type	fliC	H31	100.0	1668 / 1668	contig00011 len=145250 cov=18.1 corr=0 origname=NODE_11_length_145250_cov_18.144916_pilon sw=shovill-spades/1.0.9 date=20210127	123992..125659	CP000247	MVAST2235
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=616709 cov=20.2 corr=0 origname=NODE_2_length_616709_cov_20.183019_pilon sw=shovill-spades/1.0.9 date=20210127	582874..584118	AY647261	MVAST2235
O_type	wzy	O15	100.0	1179 / 1179	contig00002 len=616709 cov=20.2 corr=0 origname=NODE_2_length_616709_cov_20.183019_pilon sw=shovill-spades/1.0.9 date=20210127	585151..586329	AY647261	MVAST2235
H_type	fliC	H31	100.0	1668 / 1668	contig00005 len=343925 cov=7.5 corr=0 origname=NODE_5_length_343925_cov_7.527121_pilon sw=shovill-spades/1.0.9 date=20210127	186773..188440	CP000247	SRR5642062
O_type	wzy	O18	100.0	1191 / 1191	contig00004 len=412736 cov=7.7 corr=0 origname=NODE_4_length_412736_cov_7.734092_pilon sw=shovill-spades/1.0.9 date=20210127	403006..404196	GU299793	SRR5642062
O_type	wzy	O18ac	100.0	1146 / 1146	contig00004 len=412736 cov=7.7 corr=0 origname=NODE_4_length_412736_cov_7.734092_pilon sw=shovill-spades/1.0.9 date=20210127	403051..404196	AB811603	SRR5642062
O_type	wzx	O18ac	100.0	1248 / 1248	contig00004 len=412736 cov=7.7 corr=0 origname=NODE_4_length_412736_cov_7.734092_pilon sw=shovill-spades/1.0.9 date=20210127	401702..402949	GU299793	SRR5642062
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1180547 cov=8.0 corr=0 origname=NODE_1_length_1180547_cov_8.003382_pilon sw=shovill-spades/1.0.9 date=20210127	750904..752571	CP000247	MVC27
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1180547 cov=8.0 corr=0 origname=NODE_1_length_1180547_cov_8.003382_pilon sw=shovill-spades/1.0.9 date=20210127	582102..583544	AB812035	MVC27
H_type	fliC	H31	100.0	1668 / 1668	contig00020 len=95170 cov=20.2 corr=0 origname=NODE_20_length_95170_cov_20.228784_pilon sw=shovill-spades/1.0.9 date=20210126	50571..52238	CP000247	53438
O_type	wzx	O45	100.0	1263 / 1263	contig00002 len=477016 cov=22.8 corr=0 origname=NODE_2_length_477016_cov_22.836607_pilon sw=shovill-spades/1.0.9 date=20210126	92587..93849	CU463050	53438
O_type	wzy	O45	100.0	1092 / 1092	contig00002 len=477016 cov=22.8 corr=0 origname=NODE_2_length_477016_cov_22.836607_pilon sw=shovill-spades/1.0.9 date=20210126	90539..91630	CU463050	53438
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=1180402 cov=31.8 corr=0 origname=NODE_2_length_1180402_cov_31.828597_pilon sw=shovill-spades/1.0.9 date=20210127	750742..752409	CP000247	SRR9997955
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=1180402 cov=31.8 corr=0 origname=NODE_2_length_1180402_cov_31.828597_pilon sw=shovill-spades/1.0.9 date=20210127	581926..583368	AB812035	SRR9997955
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=602761 cov=27.7 corr=0 origname=NODE_1_length_602761_cov_27.685680_pilon sw=shovill-spades/1.0.9 date=20210126	216196..217863	CP000247	MVC549
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=602761 cov=27.7 corr=0 origname=NODE_1_length_602761_cov_27.685680_pilon sw=shovill-spades/1.0.9 date=20210126	42919..44157	AY568960	MVC549
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=602761 cov=27.7 corr=0 origname=NODE_1_length_602761_cov_27.685680_pilon sw=shovill-spades/1.0.9 date=20210126	45053..46240	AY568960	MVC549
H_type	fliC	H31	100.0	1668 / 1668	contig00009 len=223091 cov=10.6 corr=0 origname=NODE_9_length_223091_cov_10.569451_pilon sw=shovill-spades/1.0.9 date=20210127	52916..54583	CP000247	SRR10568449
O_type	wzy	O18	100.0	963 / 1191	contig00037 len=9504 cov=8.3 corr=0 origname=NODE_37_length_9504_cov_8.281007_pilon sw=shovill-spades/1.0.9 date=20210127	1..963	GU299793	SRR10568449
O_type	wzy	O18ac	100.0	963 / 1146	contig00037 len=9504 cov=8.3 corr=0 origname=NODE_37_length_9504_cov_8.281007_pilon sw=shovill-spades/1.0.9 date=20210127	1..963	AB811603	SRR10568449
O_type	wzx	O18ac	100.0	1248 / 1248	contig00008 len=234540 cov=12.2 corr=0 origname=NODE_8_length_234540_cov_12.216942_pilon sw=shovill-spades/1.0.9 date=20210127	305..1552	GU299793	SRR10568449
H_type	fliC	H31	100.0	1668 / 1668	contig00016 len=90701 cov=26.8 corr=0 origname=NODE_16_length_90701_cov_26.772330_pilon sw=shovill-spades/1.0.9 date=20210126	21210..22877	CP000247	SRR10384590
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=454079 cov=30.5 corr=0 origname=NODE_2_length_454079_cov_30.537744_pilon sw=shovill-spades/1.0.9 date=20210126	352935..354377	AB812035	SRR10384590
H_type	fliC	H31	100.0	1668 / 1668	contig00016 len=77339 cov=26.1 corr=0 origname=NODE_16_length_77339_cov_26.125369_pilon sw=shovill-spades/1.0.9 date=20210127	56065..57732	CP000247	SRR6160438
O_type	wzx	O15	100.0	1245 / 1245	contig00008 len=285266 cov=26.3 corr=0 origname=NODE_8_length_285266_cov_26.344962_pilon sw=shovill-spades/1.0.9 date=20210127	250838..252082	AY647261	SRR6160438
O_type	wzy	O15	100.0	1179 / 1179	contig00008 len=285266 cov=26.3 corr=0 origname=NODE_8_length_285266_cov_26.344962_pilon sw=shovill-spades/1.0.9 date=20210127	253115..254293	AY647261	SRR6160438
H_type	fliC	H31	100.0	1668 / 1668	contig00022 len=64261 cov=20.7 corr=0 origname=NODE_22_length_64261_cov_20.661739_pilon sw=shovill-spades/1.0.9 date=20210127	42996..44663	CP000247	SRR12898999
O_type	wzx	O83	100.0	1373 / 1443	contig00003 len=338825 cov=22.7 corr=0 origname=NODE_3_length_338825_cov_22.742118_pilon sw=shovill-spades/1.0.9 date=20210127	337453..338825	AB812035	SRR12898999
O_type	wzy	O83	100.0	1236 / 1236	contig00018 len=98999 cov=20.5 corr=0 origname=NODE_18_length_98999_cov_20.459443_pilon sw=shovill-spades/1.0.9 date=20210127	97703..98938	AB812035	SRR12898999
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=611661 cov=25.2 corr=0 origname=NODE_4_length_611661_cov_25.230725_pilon sw=shovill-spades/1.0.9 date=20210127	427993..429660	CP000247	SRR12744024
O_type	wzx	O4	99.92	1239 / 1239	contig00003 len=633818 cov=25.5 corr=0 origname=NODE_3_length_633818_cov_25.530663_pilon sw=shovill-spades/1.0.9 date=20210127	620197..621435	AY568960	SRR12744024
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=633818 cov=25.5 corr=0 origname=NODE_3_length_633818_cov_25.530663_pilon sw=shovill-spades/1.0.9 date=20210127	622331..623518	AY568960	SRR12744024
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=621134 cov=27.9 corr=0 origname=NODE_4_length_621134_cov_27.921354_pilon sw=shovill-spades/1.0.9 date=20210127	181972..183639	CP000247	SRR9995620
O_type	wzx	O75	98.04	1533 / 1533	contig00003 len=635192 cov=29.0 corr=0 origname=NODE_3_length_635192_cov_29.039807_pilon sw=shovill-spades/1.0.9 date=20210127	40748..42280	GU299795	SRR9995620
O_type	wzy	O75	98.32	1074 / 1074	contig00003 len=635192 cov=29.0 corr=0 origname=NODE_3_length_635192_cov_29.039807_pilon sw=shovill-spades/1.0.9 date=20210127	47179..48252	GU299795	SRR9995620
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=453160 cov=20.9 corr=0 origname=NODE_3_length_453160_cov_20.933471_pilon sw=shovill-spades/1.0.9 date=20210126	66574..68241	CP000247	SRR12744080
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=636787 cov=22.8 corr=0 origname=NODE_1_length_636787_cov_22.836376_pilon sw=shovill-spades/1.0.9 date=20210126	582193..583635	AB812035	SRR12744080
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=502048 cov=27.5 corr=0 origname=NODE_1_length_502048_cov_27.533509_pilon sw=shovill-spades/1.0.9 date=20210126	480889..482556	CP000247	MVC121
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=502048 cov=27.5 corr=0 origname=NODE_1_length_502048_cov_27.533509_pilon sw=shovill-spades/1.0.9 date=20210126	312028..313470	AB812035	MVC121
H_type	fliC	H31	100.0	1668 / 1668	contig00038 len=34480 cov=28.4 corr=0 origname=NODE_38_length_34480_cov_28.361366_pilon sw=shovill-spades/1.0.9 date=20210127	25567..27234	CP000247	SRR10559650
O_type	wzx	O6	99.89	938 / 1257	contig00023 len=83176 cov=30.3 corr=0 origname=NODE_23_length_83176_cov_30.339258_pilon sw=shovill-spades/1.0.9 date=20210127	1..938	AB811597	SRR10559650
O_type	wzx	O6	99.89	938 / 1257	contig00023 len=83176 cov=30.3 corr=0 origname=NODE_23_length_83176_cov_30.339258_pilon sw=shovill-spades/1.0.9 date=20210127	1..938	AJ426045	SRR10559650
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=260316 cov=26.1 corr=0 origname=NODE_8_length_260316_cov_26.069011_pilon sw=shovill-spades/1.0.9 date=20210127	7133..8800	CP000247	SRR7660838
O_type	wzx	O75	97.7	1129 / 1533	contig00025 len=41876 cov=27.8 corr=0 origname=NODE_25_length_41876_cov_27.834511_pilon sw=shovill-spades/1.0.9 date=20210127	40748..41876	GU299795	SRR7660838
O_type	wzy	O75	98.32	1074 / 1074	contig00054 len=2820 cov=2.5 corr=0 origname=NODE_54_length_2820_cov_2.454512_pilon sw=shovill-spades/1.0.9 date=20210127	355..1428	GU299795	SRR7660838
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611415 cov=27.7 corr=0 origname=NODE_1_length_611415_cov_27.706398_pilon sw=shovill-spades/1.0.9 date=20210126	181970..183637	CP000247	MVC380
O_type	wzx	O4	100.0	1239 / 1239	contig00002 len=526583 cov=28.8 corr=1 origname=NODE_2_length_526583_cov_28.807750_pilon sw=shovill-spades/1.0.9 date=20210126	473126..474364	AY568960	MVC380
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=526583 cov=28.8 corr=1 origname=NODE_2_length_526583_cov_28.807750_pilon sw=shovill-spades/1.0.9 date=20210126	475260..476447	AY568960	MVC380
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=378570 cov=34.5 corr=0 origname=NODE_3_length_378570_cov_34.528907_pilon sw=shovill-spades/1.0.9 date=20210126	124004..125671	CP000247	SRR11319494
O_type	wzx	O15	100.0	1245 / 1245	contig00001 len=588922 cov=38.1 corr=0 origname=NODE_1_length_588922_cov_38.149065_pilon sw=shovill-spades/1.0.9 date=20210126	582126..583370	AY647261	SRR11319494
O_type	wzy	O15	100.0	1179 / 1179	contig00001 len=588922 cov=38.1 corr=0 origname=NODE_1_length_588922_cov_38.149065_pilon sw=shovill-spades/1.0.9 date=20210126	584403..585581	AY647261	SRR11319494
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=543050 cov=12.8 corr=0 origname=NODE_2_length_543050_cov_12.825288_pilon sw=shovill-spades/1.0.9 date=20210127	19668..21335	CP000247	SRR12845610
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=543050 cov=12.8 corr=0 origname=NODE_2_length_543050_cov_12.825288_pilon sw=shovill-spades/1.0.9 date=20210127	188705..190147	AB812035	SRR12845610
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=827467 cov=12.8 corr=0 origname=NODE_2_length_827467_cov_12.790675_pilon sw=shovill-spades/1.0.9 date=20210127	394235..395902	CP000247	SD_3_E5
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=827467 cov=12.8 corr=0 origname=NODE_2_length_827467_cov_12.790675_pilon sw=shovill-spades/1.0.9 date=20210127	225379..226821	AB812035	SD_3_E5
O_type	wzy	O83	100.0	1236 / 1236	contig00002 len=827467 cov=12.8 corr=0 origname=NODE_2_length_827467_cov_12.790675_pilon sw=shovill-spades/1.0.9 date=20210127	226818..228053	AB812035	SD_3_E5
H_type	fliC	H31	100.0	1668 / 1668	contig00027 len=55245 cov=30.3 corr=0 origname=NODE_27_length_55245_cov_30.337113_pilon sw=shovill-spades/1.0.9 date=20210126	21210..22877	CP000247	SRR9029425
O_type	wzx	O15	100.0	1245 / 1245	contig00014 len=122586 cov=31.1 corr=0 origname=NODE_14_length_122586_cov_31.139924_pilon sw=shovill-spades/1.0.9 date=20210126	1386..2630	AY647261	SRR9029425
O_type	wzy	O15	100.0	816 / 1179	contig00039 len=31791 cov=30.4 corr=0 origname=NODE_39_length_31791_cov_30.364389_pilon sw=shovill-spades/1.0.9 date=20210126	30976..31791	AY647261	SRR9029425
H_type	fliC	H8	100.0	1479 / 1479	contig00003 len=461391 cov=29.1 corr=0 origname=NODE_3_length_461391_cov_29.129325_pilon sw=shovill-spades/1.0.9 date=20210126	73796..75274	AJ865465	MVAST4250
O_type	wzx	O1	99.35	1227 / 1227	contig00001 len=631622 cov=29.4 corr=0 origname=NODE_1_length_631622_cov_29.414091_pilon sw=shovill-spades/1.0.9 date=20210126	585318..586544	GU299791	MVAST4250
O_type	wzy	O1	98.71	1005 / 1005	contig00001 len=631622 cov=29.4 corr=0 origname=NODE_1_length_631622_cov_29.414091_pilon sw=shovill-spades/1.0.9 date=20210126	588812..589816	GU299791	MVAST4250
H_type	fliC	H31	100.0	1668 / 1668	contig00009 len=202645 cov=32.8 corr=0 origname=NODE_9_length_202645_cov_32.781353_pilon sw=shovill-spades/1.0.9 date=20210125	46255..47922	CP000247	SRR11668383
O_type	wzy	O18	100.0	1191 / 1191	contig00002 len=594507 cov=32.8 corr=0 origname=NODE_2_length_594507_cov_32.834732_pilon sw=shovill-spades/1.0.9 date=20210125	584835..586025	GU299793	SRR11668383
O_type	wzy	O18ac	100.0	1146 / 1146	contig00002 len=594507 cov=32.8 corr=0 origname=NODE_2_length_594507_cov_32.834732_pilon sw=shovill-spades/1.0.9 date=20210125	584880..586025	AB811603	SRR11668383
O_type	wzx	O18ac	100.0	1248 / 1248	contig00002 len=594507 cov=32.8 corr=0 origname=NODE_2_length_594507_cov_32.834732_pilon sw=shovill-spades/1.0.9 date=20210125	583531..584778	GU299793	SRR11668383
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1228623 cov=25.4 corr=0 origname=NODE_1_length_1228623_cov_25.353356_pilon sw=shovill-spades/1.0.9 date=20210127	753508..755175	CP000247	SRR8776507
O_type	wzy	O2	98.03	963 / 963	contig00001 len=1228623 cov=25.4 corr=0 origname=NODE_1_length_1228623_cov_25.353356_pilon sw=shovill-spades/1.0.9 date=20210127	584967..585929	EU549863	SRR8776507
O_type	wzy	O2/O50	98.03	963 / 963	contig00001 len=1228623 cov=25.4 corr=0 origname=NODE_1_length_1228623_cov_25.353356_pilon sw=shovill-spades/1.0.9 date=20210127	584967..585929	EU549863	SRR8776507
O_type	wzx	O2/O50	98.65	1263 / 1263	contig00001 len=1228623 cov=25.4 corr=0 origname=NODE_1_length_1228623_cov_25.353356_pilon sw=shovill-spades/1.0.9 date=20210127	581993..583255	EU549863-AB811624	SRR8776507
O_type	wzx	O50	98.65	1263 / 1263	contig00001 len=1228623 cov=25.4 corr=0 origname=NODE_1_length_1228623_cov_25.353356_pilon sw=shovill-spades/1.0.9 date=20210127	581993..583255	KY115227	SRR8776507
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611453 cov=26.5 corr=0 origname=NODE_1_length_611453_cov_26.514547_pilon sw=shovill-spades/1.0.9 date=20210126	427779..429446	CP000247	MVC234
O_type	wzx	O4	100.0	1239 / 1239	contig00003 len=392872 cov=27.6 corr=0 origname=NODE_3_length_392872_cov_27.574214_pilon sw=shovill-spades/1.0.9 date=20210126	339414..340652	AY568960	MVC234
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=392872 cov=27.6 corr=0 origname=NODE_3_length_392872_cov_27.574214_pilon sw=shovill-spades/1.0.9 date=20210126	341548..342735	AY568960	MVC234
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1169222 cov=30.6 corr=0 origname=NODE_1_length_1169222_cov_30.593916_pilon sw=shovill-spades/1.0.9 date=20210126	766954..768621	CP000247	ERR3330197
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1169222 cov=30.6 corr=0 origname=NODE_1_length_1169222_cov_30.593916_pilon sw=shovill-spades/1.0.9 date=20210126	598127..599569	AB812035	ERR3330197
O_type	wzy	O83	100.0	1236 / 1236	contig00001 len=1169222 cov=30.6 corr=0 origname=NODE_1_length_1169222_cov_30.593916_pilon sw=shovill-spades/1.0.9 date=20210126	599566..600801	AB812035	ERR3330197
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=472432 cov=17.3 corr=0 origname=NODE_3_length_472432_cov_17.300558_pilon sw=shovill-spades/1.0.9 date=20210127	427685..429352	CP000247	SRR7690507
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=585151 cov=21.9 corr=0 origname=NODE_2_length_585151_cov_21.925526_pilon sw=shovill-spades/1.0.9 date=20210127	583114..584358	AY647261	SRR7690507
O_type	wzy	O15	100.0	1179 / 1179	contig00029 len=32338 cov=19.7 corr=0 origname=NODE_29_length_32338_cov_19.725560_pilon sw=shovill-spades/1.0.9 date=20210127	185..1363	AY647261	SRR7690507
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=480442 cov=28.3 corr=0 origname=NODE_3_length_480442_cov_28.289698_pilon sw=shovill-spades/1.0.9 date=20210126	54369..56036	CP000247	SRR11484486
O_type	wzx	O83	100.0	1443 / 1443	contig00013 len=107792 cov=28.7 corr=0 origname=NODE_13_length_107792_cov_28.714668_pilon sw=shovill-spades/1.0.9 date=20210126	5500..6942	AB812035	SRR11484486
H_type	fliC	H31	100.0	1668 / 1668	contig00011 len=197394 cov=16.5 corr=0 origname=NODE_11_length_197394_cov_16.531082_pilon sw=shovill-spades/1.0.9 date=20210127	47691..49358	CP000247	SRR10597532
O_type	wzx	O15	100.0	1245 / 1245	contig00004 len=340886 cov=17.9 corr=0 origname=NODE_4_length_340886_cov_17.863446_pilon sw=shovill-spades/1.0.9 date=20210127	1391..2635	AY647261	SRR10597532
O_type	wzy	O15	100.0	831 / 1179	contig00028 len=31806 cov=19.2 corr=0 origname=NODE_28_length_31806_cov_19.204299_pilon sw=shovill-spades/1.0.9 date=20210127	1..831	AY647261	SRR10597532
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=195683 cov=22.8 corr=0 origname=NODE_8_length_195683_cov_22.775571_pilon sw=shovill-spades/1.0.9 date=20210127	19493..21160	CP000247	SRR8738211
O_type	wzx	O83	100.0	1443 / 1443	contig00008 len=195683 cov=22.8 corr=0 origname=NODE_8_length_195683_cov_22.775571_pilon sw=shovill-spades/1.0.9 date=20210127	188545..189987	AB812035	SRR8738211
O_type	wzy	O83	100.0	1236 / 1236	contig00008 len=195683 cov=22.8 corr=0 origname=NODE_8_length_195683_cov_22.775571_pilon sw=shovill-spades/1.0.9 date=20210127	187313..188548	AB812035	SRR8738211
H_type	fliC	H31	99.94	1668 / 1668	contig00010 len=189130 cov=33.7 corr=0 origname=NODE_10_length_189130_cov_33.667280_pilon sw=shovill-spades/1.0.9 date=20210126	155425..157092	CP000247	SRR11668384
O_type	wzy	O18	100.0	1191 / 1191	contig00028 len=39532 cov=35.2 corr=0 origname=NODE_28_length_39532_cov_35.239554_pilon sw=shovill-spades/1.0.9 date=20210126	8484..9674	GU299793	SRR11668384
O_type	wzy	O18ac	100.0	1146 / 1146	contig00028 len=39532 cov=35.2 corr=0 origname=NODE_28_length_39532_cov_35.239554_pilon sw=shovill-spades/1.0.9 date=20210126	8484..9629	AB811603	SRR11668384
O_type	wzx	O18ac	100.0	1248 / 1248	contig00028 len=39532 cov=35.2 corr=0 origname=NODE_28_length_39532_cov_35.239554_pilon sw=shovill-spades/1.0.9 date=20210126	9731..10978	GU299793	SRR11668384
